Acolyte: [{'insight': True, 'religion': True}]
Archaeologist: [{'history': True, 'survival': True}]
Athlete: [{'acrobatics': True, 'athletics': True}]
Azorius Functionary: [{'insight': True, 'intimidation': True}]
Caravan Specialist: [{'animal handling': True, 'survival': True}]
Celebrity Adventurer's Scion: [{'perception': True, 'performance': True}]
Charlatan: [{'deception': True, 'sleight of hand': True}]
City Watch: [{'athletics': True, 'insight': True}]
Clan Crafter: [{'history': True, 'insight': True}]
Courtier: [{'insight': True, 'persuasion': True}]
Criminal: [{'deception': True, 'stealth': True}]
Custom Background: [{'any': 2}]
Entertainer: [{'acrobatics': True, 'performance': True}]
Faceless: [{'deception': True, 'intimidation': True}]
Failed Merchant: [{'investigation': True, 'persuasion': True}]
Far Traveler: [{'insight': True, 'perception': True}]
Feylost: [{'deception': True, 'survival': True}]
Folk Hero: [{'animal handling': True, 'survival': True}]
Gambler: [{'deception': True, 'insight': True}]
Gate Warden: [{'persuasion': True, 'survival': True}]
Giant Foundling: [{'intimidation': True, 'survival': True}]
Grinner: [{'deception': True, 'performance': True}]
Gruul Anarch: [{'animal handling': True, 'athletics': True}]
Harborfolk: [{'athletics': True, 'sleight of hand': True}]
Hermit: [{'medicine': True, 'religion': True}]
Hillsfar Smuggler: [{'perception': True, 'stealth': True}]
Inquisitor: [{'investigation': True, 'religion': True}]
Iron Route Bandit: [{'animal handling': True, 'stealth': True}]
Izzet Engineer: [{'arcana': True, 'investigation': True}]
Mercenary Veteran: [{'athletics': True, 'persuasion': True}]
Noble: [{'history': True, 'persuasion': True}]
Orzhov Representative: [{'intimidation': True, 'religion': True}]
Outlander: [{'athletics': True, 'survival': True}]
Phlan Refugee: [{'insight': True, 'athletics': True}]
Plaintiff: [{'medicine': True, 'persuasion': True}]
Quandrix Student: [{'arcana': True, 'nature': True}]
Reformed Cultist: [{'deception': True, 'religion': True}]
Rewarded: [{'insight': True, 'persuasion': True}]
Rival Intern: [{'history': True, 'investigation': True}]
Ruined: [{'stealth': True, 'survival': True}]
Rune Carver: [{'history': True, 'perception': True}]
Sage: [{'arcana': True, 'history': True}]
Sailor: [{'athletics': True, 'perception': True}]
Selesnya Initiate: [{'nature': True, 'persuasion': True}]
Silverquill Student: [{'intimidation': True, 'persuasion': True}]
Simic Scientist: [{'arcana': True, 'medicine': True}]
Smuggler: [{'athletics': True, 'deception': True}]
Soldier: [{'athletics': True, 'intimidation': True}]
Ticklebelly Nomad: [{'animal handling': True, 'nature': True}]
Urchin: [{'sleight of hand': True, 'stealth': True}]
Variant City Watch (Investigator): [{'insight': True, 'investigation': True}]
Vizier: [{'history': True, 'religion': True}]
Witchlight Hand: [{'performance': True, 'sleight of hand': True}]
Witherbloom Student: [{'nature': True, 'survival': True}]
