id,name,type,game_edition_id
1,Aarakocra,,9
2,Aasimar,,4
3,Aetherborn,,
4,Astral Elf,,10
5,Autognome,,7
6,Aven,,
7,Bugbear,,9
8,Bullywug,,9
9,Centaur,,9
10,Cervan,,
11,Changeling,,5
12,Corvum,,
13,Custom Lineage,,1
14,Deep Gnome,,8
15,Dhampir,,4
16,Dragonborn,,3
17,Dragonborn (Chromatic),,
18,Dragonborn (Gem),,
19,Dragonborn (Metallic),,
20,Duergar,,8
21,Dwarf,,8
22,Dwarf (Kaladesh),,
23,Eladrin,,5
24,Elf,,5
25,Elf (Kaladesh),,
26,Elf (Zendikar),,
27,Fairy,,5
28,Firbolg,,5
29,Gallus,,
30,Genasi,,10
31,Giff,,10
32,Gith,,10
33,Githyanki,,10
34,Githzerai,,10
35,Gnoll,,9
36,Gnome,,5
37,Gnome (Deep),,8
38,Goblin,,9
39,Goblin (Dankwood),,
40,Goliath,,9
41,Grimlock,,8
42,Grung,,9
43,Hadozee,,9
44,Half-Elf,,5
45,Half-Orc,,9
46,Halfling,,5
47,Harengon,,9
48,Hedge,,
49,Hexblood,,9
50,Hobgoblin,,9
51,Human,,1
52,Human (Amonkhet),,
53,Human (Innistrad),,
54,Human (Ixalan),,
55,Human (Kaladesh),,
56,Human (Zendikar),,
57,Jerbeen,,
58,Kalashtar,,
59,Kender,,9
60,Kenku,,9
61,Khenra,,
62,Kobold,,9
63,Kor,,
64,Kuo-Toa,,8
65,Leonin,,9
66,Lizardfolk,,9
67,Locathah,,11
68,Loxodon,,9
69,Luma,,
70,Mapach,,
71,Merfolk,,11
72,Minotaur,,9
73,Minotaur (Amonkhet),,
74,Naga,,9
75,Orc,,9
76,Orc (Ixalan),,
77,Owlin,,9
78,Plasmoid,,
79,Raptor,,9
80,Reborn,,
81,Satyr,,9
82,Sea Elf,,11
83,Shadar-Kai,,10
84,Shifter,,9
85,Simic Hybrid,,
86,Siren,,9
87,Skeleton,,
88,Strig,,
89,Tabaxi,,9
90,Thri-kreen,,9
91,Tiefling,,4
92,Tortle,,11
93,Triton,,11
94,Troglodyte,,8
95,Vampire,,
96,Vedalken,,
97,Verdan,,
98,Vulpin,,9
99,Warforged,,7
100,Yuan-Ti,,9
101,Yuan-ti Pureblood,,9
102,Zombie,,
